operator,horizon_hours,tau,method,group,covered,n,folds,coverage,gap,ci_lo,ci_hi,passes,decisive
robi,24.0,0.95,aci,elevated_risk,67,74,3,0.9054054054054054,-0.04459459459459458,0.8147623835265264,0.9611159730010648,False,False
robi,24.0,0.95,adaptive,ALL,480,516,8,0.9302325581395349,-0.019767441860465085,0.9047180942982993,0.9506606327324424,True,False
robi,24.0,0.95,adaptive,baseline,416,442,8,0.9411764705882353,-0.008823529411764675,0.9149951688329885,0.9612184037397629,True,False
robi,24.0,0.95,adaptive,elevated_risk,64,74,3,0.8648648648648649,-0.08513513513513504,0.765490199205302,0.9332490187373166,False,True
robi,24.0,0.95,marginal,ALL,475,516,8,0.9205426356589147,-0.029457364341085257,0.8937495826956949,0.942378861110357,False,True
robi,24.0,0.95,marginal,baseline,410,442,8,0.9276018099547512,-0.02239819004524879,0.8993301571189185,0.9499556229585445,False,True
robi,24.0,0.95,marginal,elevated_risk,65,74,3,0.8783783783783784,-0.07162162162162156,0.7816389033305589,0.9428504456773248,False,True
robi,24.0,0.95,mondrian,ALL,476,516,8,0.9224806201550387,-0.027519379844961223,0.8959347695086375,0.9440440168446178,False,True
robi,24.0,0.95,mondrian,baseline,407,442,8,0.920814479638009,-0.029185520361990958,0.8915912324652617,0.9442266660281313,False,True
robi,24.0,0.95,mondrian,elevated_risk,69,74,3,0.9324324324324325,-0.0175675675675675,0.8493212714569216,0.9776984876707647,True,False
