rmse,mae,mape,mase,model,fold,n_test,arm
22.217004748615416,13.846250000000001,11.769277074468782,0.8026087824796384,persistence,0,64,dense
22.55274983233752,15.558125,12.227333355157661,0.9018389646233474,seasonal_naive_15,0,64,dense
35.162209183314445,30.005377906976747,21.618948255504613,1.7392853537788244,drift,0,64,dense
34.05211618322062,27.745208333333327,20.848923657743878,1.608272844998507,rolling_mean_15,0,64,dense
33.41321644128743,26.89336594202898,20.80747525478881,1.5588951301262979,train_mean,0,64,dense
62.535967450739896,54.690625,36.88348014076493,3.1701851363582536,seasonal_naive_24,0,64,dense
21.03822919088491,15.783487391470915,11.380424928253376,0.9149022730740233,ridge,0,64,dense
17.216062550862706,12.15199929751056,8.471189497515997,0.7044002066168364,random_forest,0,64,dense
18.476873620371236,13.486203851699829,9.13422372484628,0.7817384240270838,xgboost,0,64,dense
16.719136289221172,13.077573552368893,9.470455720797759,0.7580518470094586,cnn_cov,0,64,dense
15.470504226391645,12.108452105102863,8.979100515701312,0.7018759593239775,lstm_cov,0,64,dense
18.21498825081383,14.390555848841114,10.40598474983821,0.8341598995427358,gru_cov,0,64,dense
17.01190085084307,13.196165932611333,9.886491278703732,0.7649261476986522,rnn_cov,0,64,dense
20.78198973052185,15.387858142275928,10.981499611586038,0.8919693121633274,dlinear,0,64,dense
18.63973968923362,14.210220565833481,10.6449752045285,0.823706622884227,nlinear,0,64,dense
15.448926936501687,11.0736458208452,7.644173142997765,0.6418925983482389,tcn,0,64,dense
15.530686580395143,11.511494946423118,8.640080373740606,0.6672728676334148,transformer,0,64,dense
18.129636827024633,12.913153993416808,9.8628745322062,0.7485211378263678,nbeatsx,0,64,dense
16.92101046799354,11.885734256973908,8.542407292952829,0.6889659439101821,nbeats,0,64,dense
33.743654218237836,18.15,21.43764349610528,1.0691261923247874,persistence,1,64,dense
36.7334125830966,20.762500000000003,23.10690702658165,1.2230155684927495,seasonal_naive_15,1,64,dense
77.89357712707064,64.08457107843137,73.06035938746707,3.7749032211487896,drift,1,64,dense
44.94696735783925,37.3065,39.00680446343849,2.197540291678495,rolling_mean_15,1,64,dense
49.51616836311511,40.519333740831286,45.295011911211816,2.3867923414805645,train_mean,1,64,dense
72.4753930655088,67.43,61.709200767137176,3.971965793303605,seasonal_naive_24,1,64,dense
24.545689947507533,16.67907497026772,17.710876977268203,0.9824813176012119,ridge,1,64,dense
27.15720125829468,17.190221187295123,20.788005459653025,1.012590397972106,random_forest,1,64,dense
27.697554998509617,18.333523993492125,21.11730636091957,1.079936677634015,xgboost,1,64,dense
26.20948384719632,17.831772198058708,20.292637151417342,1.0503809758960614,cnn_cov,1,64,dense
27.103119012830298,18.768775332539068,21.238070567848528,1.105575168367873,lstm_cov,1,64,dense
28.03822818976796,20.037715081875007,22.697880012710087,1.1803220952272173,gru_cov,1,64,dense
24.993447857939906,15.666268213951088,17.579777573072946,0.9228219109377619,rnn_cov,1,64,dense
24.171283281370595,15.919588090261037,16.413570358149805,0.9377437244253344,dlinear,1,64,dense
24.439397723888792,15.750896021344605,16.679373876755648,0.9278069139946999,nlinear,1,64,dense
26.650990470868688,18.742937881917666,20.67239431597972,1.1040532127093472,tcn,1,64,dense
27.296533821793542,18.839219558002,21.461852405203523,1.1097246871855286,transformer,1,64,dense
33.24764873543173,23.12917871872354,27.04091496151252,1.362424836096331,nbeatsx,1,64,dense
30.702399384631672,19.257022463442894,22.34187426419339,1.134335377512595,nbeats,1,64,dense
25.596458739442845,15.056249999999999,16.473577587928816,0.8600852922488228,persistence,2,64,dense
21.245667793693848,12.65,12.528558745496499,0.7226287386930749,seasonal_naive_15,2,64,dense
54.639957218982815,48.06638771186441,36.0593398883858,2.7457828557910586,drift,2,64,dense
35.59184510842648,30.015333333333334,30.944003353627096,1.7146199579540613,rolling_mean_15,2,64,dense
42.708232798010286,32.22924418604649,38.20954696978267,1.8410891759046557,train_mean,2,64,dense
61.56050519610768,55.2475,50.18856092488373,3.1560024696399727,seasonal_naive_24,2,64,dense
15.78402677115146,12.058676155260809,12.263413534064135,0.6888494814533104,ridge,2,64,dense
21.49431959952574,14.823123104398377,17.58597326213387,0.8467679646184645,random_forest,2,64,dense
21.074497630847137,13.91009641170502,16.187845439617472,0.7946114960545032,xgboost,2,64,dense
20.008589299273225,14.261507502708628,16.433037025080434,0.814685784865151,cnn_cov,2,64,dense
17.38589707986621,11.364051220832298,12.87166482213426,0.649169169972612,lstm_cov,2,64,dense
17.63298796223734,11.742943452928564,12.935004264504613,0.6708133135125589,gru_cov,2,64,dense
16.134337404165453,11.260378390068437,11.963060616715978,0.6432468800965938,rnn_cov,2,64,dense
15.764191832467045,11.853676128031609,12.034566937741006,0.6771388955949165,dlinear,2,64,dense
16.02321536255612,11.806730603396286,12.043286918872798,0.6744571418198565,nlinear,2,64,dense
16.271068795980852,11.206556804414502,12.44425332005698,0.640172332700897,tcn,2,64,dense
20.504314174363838,13.972671127637131,15.075587894437307,0.7981860642796493,transformer,2,64,dense
22.893602557465442,14.886357551724382,16.508988199044143,0.8503802198685154,nbeatsx,2,64,dense
21.1630786978022,15.469141476070039,14.983957046692181,0.8836716358511638,nbeats,2,64,dense
27.444173334243462,16.775000000000002,19.61440928128812,0.9920038215652045,persistence,3,64,dense
19.774393163887485,13.385625000000001,12.446355961066855,0.7915702625358415,seasonal_naive_15,3,64,dense
49.088274562816586,37.71306902985074,45.7673220325386,2.230194253386843,drift,3,64,dense
40.23211733318433,35.94708333333333,35.976460681630726,2.1257611946819392,rolling_mean_15,3,64,dense
45.277572136973454,34.7218354283054,41.54253078102028,2.0533051228993777,train_mean,3,64,dense
