arm,model,rmse_mean,rmse_std,operator
dense,cnn_cov,8.01929579101184,0.9802649333481221,gp
dense,dlinear,8.944803839103024,1.0394305173665048,gp
dense,drift,23.64523943381463,5.188770902231117,gp
dense,gru_cov,9.634406430127058,1.7353284012852255,gp
dense,lstm_cov,9.162239646426928,1.0256868720450572,gp
dense,nbeats,7.833404959499502,1.4320482892902378,gp
dense,nbeatsx,9.077781443019607,0.8398331641201772,gp
dense,nlinear,9.137744704169759,0.9426452140172035,gp
dense,persistence,12.163999253789434,1.0896886305206146,gp
dense,random_forest,8.650911632770706,1.3590742632930153,gp
dense,ridge,9.007191423534952,1.1571342792388126,gp
dense,rnn_cov,9.228066045964647,1.7892579450244932,gp
dense,rolling_mean_17,16.137667212050456,1.6374984945898232,gp
dense,seasonal_naive_17,18.381161369426398,1.6964552872943883,gp
dense,seasonal_naive_24,29.717031505944348,3.3979521898102583,gp
dense,tcn,7.473690172918405,1.0509193997949422,gp
dense,train_mean,18.21237450909714,2.0493313675615794,gp
dense,transformer,9.198375666391525,1.4687465263913755,gp
dense,xgboost,8.73311103413673,1.555613227615292,gp
dense_covariates,cnn_cov,14.311033146878383,6.14427724521235,gp
dense_covariates,dlinear,14.962464123792879,7.885235315458279,gp
dense_covariates,drift,23.64523943381463,5.188770902231117,gp
dense_covariates,gru_cov,10.643271650937958,1.4470844292310627,gp
dense_covariates,lstm_cov,11.938162064130802,2.992223329018459,gp
dense_covariates,nbeats,7.833404959499502,1.4320482892902378,gp
dense_covariates,nbeatsx,9.948544921379227,1.702240498517913,gp
dense_covariates,nlinear,12.250705106349198,3.524336927995854,gp
dense_covariates,persistence,12.163999253789434,1.0896886305206146,gp
dense_covariates,random_forest,9.01361759180786,1.3172645857357896,gp
dense_covariates,ridge,14.1456872402726,4.452106298060264,gp
dense_covariates,rnn_cov,10.006680859826645,1.901244912172029,gp
dense_covariates,rolling_mean_17,16.137667212050456,1.6374984945898232,gp
dense_covariates,seasonal_naive_17,18.381161369426398,1.6964552872943883,gp
dense_covariates,seasonal_naive_24,29.717031505944348,3.3979521898102583,gp
dense_covariates,tcn,11.126650042788837,1.1192468011025845,gp
dense_covariates,train_mean,18.21237450909714,2.0493313675615794,gp
dense_covariates,transformer,13.611635386824414,1.8631008944418446,gp
dense_covariates,xgboost,8.797665576779089,1.374802568115005,gp
