operator,lag_samples,lag_hours,autocorr
gp,1,1.4333333333333333,0.7649832893911583
gp,2,2.8666666666666667,0.5090836061128777
gp,3,4.3,0.26493610718372856
gp,4,5.733333333333333,0.02585245033459169
gp,5,7.166666666666667,-0.1905624840488047
gp,6,8.6,-0.3582680097444957
gp,7,10.033333333333333,-0.4611785719932051
gp,8,11.466666666666667,-0.4978221618579342
gp,9,12.9,-0.36345220450744925
gp,10,14.333333333333334,-0.19022175724341714
gp,11,15.766666666666667,0.020885344116555696
gp,12,17.2,0.25481453574520235
gp,13,18.633333333333333,0.4941485554168106
gp,14,20.066666666666666,0.7247778124405413
gp,15,21.5,0.7773724911799031
gp,16,22.933333333333334,0.682547072274148
gp,17,24.366666666666667,0.4506586969012325
gp,18,25.8,0.20702478763040447
gp,19,27.233333333333334,-0.02722140452942192
gp,20,28.666666666666668,-0.22883857131013396
gp,21,30.1,-0.3896510862722437
gp,22,31.533333333333335,-0.5128907045778648
gp,23,32.96666666666667,-0.46098654716108184
gp,24,34.4,-0.3465375546078301
gp,25,35.833333333333336,-0.17772210982935854
gp,26,37.266666666666666,0.025896794931114603
gp,27,38.7,0.24693639171012485
gp,28,40.13333333333333,0.47874276999220805
gp,29,41.56666666666667,0.6980756527006122
gp,30,43.0,0.8460845759075427
gp,31,44.43333333333333,0.623854997837396
gp,32,45.86666666666667,0.38067544944843645
gp,33,47.3,0.1433553139785359
gp,34,48.733333333333334,-0.08342941028788045
gp,35,50.166666666666664,-0.2751430497776045
gp,36,51.6,-0.42393884296740175
gp,37,53.03333333333333,-0.5009179751520317
gp,38,54.46666666666667,-0.5001973471668851
gp,39,55.9,-0.35516054948759995
gp,40,57.333333333333336,-0.18170047182228005
gp,41,58.766666666666666,0.026767946459114633
gp,42,60.2,0.2523935162965878
gp,43,61.63333333333333,0.4779430364618374
gp,44,63.06666666666667,0.6795920243542606
gp,45,64.5,0.6884406447867027
gp,46,65.93333333333334,0.5762130999998905
gp,47,67.36666666666666,0.3501346982619347
gp,48,68.8,0.11336892823439478
gp,49,70.23333333333333,-0.10956149156271322
gp,50,71.66666666666667,-0.2945908601704037
gp,51,73.1,-0.42992553921156695
gp,52,74.53333333333333,-0.531626937901715
gp,53,75.96666666666667,-0.45636543255593637
gp,54,77.4,-0.3313209941936182
gp,55,78.83333333333333,-0.1555171276807719
gp,56,80.26666666666667,0.037821760071313576
gp,57,81.7,0.2413982226206631
gp,58,83.13333333333334,0.46295737013235727
gp,59,84.56666666666666,0.6305201657483169
gp,60,86.0,0.7358855573917819
