rmse,mae,mape,mase,model,fold,n_test,arm
12.328137424994067,6.993157383030303,8.88845413482695,0.5032425538739069,persistence,0,66,dense
18.598225368216266,15.327468233181817,19.372869070496954,1.1029973780949258,seasonal_naive_17,0,66,dense
28.668449098852022,23.602066990470085,31.582299263629015,1.6984551924727838,drift,0,66,dense
15.405034187266022,11.504053827718359,14.685171231413916,0.8278563045373971,rolling_mean_17,0,66,dense
17.10490958965199,13.695075762215916,17.866988780493728,0.9855269264779131,train_mean,0,66,dense
28.53674676133537,24.742913013787877,28.888812150725247,1.7805529109860994,seasonal_naive_24,0,66,dense
8.74984961003652,6.729433471610417,8.318501617752116,0.48426441747122667,ridge,0,66,dense
7.674758426108905,5.120212198369574,6.623630306671069,0.3684614147733203,random_forest,0,66,dense
7.91646404239009,5.0125418633902985,6.669396954016324,0.36071322731182914,xgboost,0,66,dense
8.01760184781565,5.633074195365703,6.868037023446884,0.40536806037227374,cnn_cov,0,66,dense
8.988590723464382,6.6152230314594815,8.265712816095462,0.4760455900614374,lstm_cov,0,66,dense
8.874536210433474,6.418364173084425,7.961327607044116,0.46187920580677094,gru_cov,0,66,dense
8.183146758852944,5.984438234571435,7.519313998620736,0.43065296771018396,rnn_cov,0,66,dense
8.513033935213892,6.937573001425945,8.568075887316235,0.49924258295634155,dlinear,0,66,dense
8.587030612354987,6.622663660046728,8.223979276365439,0.4765810335996823,nlinear,0,66,dense
7.175302565220859,4.48730377648988,5.8467527689996075,0.32291597182820175,tcn,0,66,dense
7.719572746385282,4.577998804910749,5.945675697732275,0.3294425799432914,transformer,0,66,dense
8.618386284510771,5.979099622379482,7.688862250858976,0.43026878976502003,nbeatsx,0,66,dense
8.967483166130126,5.7526285127194345,7.526269908493721,0.41397144460866175,nbeats,0,66,dense
11.9034681946321,6.404692080303031,7.936902045526432,0.45321239160845483,persistence,1,66,dense
18.20399476449837,14.74584554818182,17.740829161675016,1.0434537435036486,seasonal_naive_17,1,66,dense
17.093687452523895,13.741325996391614,15.99068531919478,0.972371370959245,drift,1,66,dense
