direct_rmse_mean,direct_rmse_std,recursive_rmse_mean,recursive_rmse_std,horizon_hours,steps,lead_hours,operator
10.730519965702412,1.6155066735345591,10.79752437164261,1.5249646270344837,1.5,1,1.43,gp
12.184952224286295,1.649416441547792,14.33115112876662,2.0431744568366854,3.0,2,2.87,gp
12.364731327074539,2.3233979468768498,19.188966139896735,2.373574010660955,6.0,4,5.73,gp
12.791654767667044,2.9380972013081004,20.479044637330155,2.5778260457703186,12.0,8,11.47,gp
13.006324987417454,1.9168627071011202,24.181680552820097,5.02766920037126,24.0,17,24.37,gp
