arm,model,rmse_mean,rmse_std,operator
dense,cnn_cov,20.300224722942378,3.3371268078803986,robi
dense,dlinear,20.95258667773306,3.4322037516499697,robi
dense,drift,66.59356058687989,21.826745008906983,robi
dense,gru_cov,20.86291516106368,3.8996002255608784,robi
dense,lstm_cov,19.941816812756137,4.219688932156691,robi
dense,nbeats,22.55877978850705,4.593145260050756,robi
dense,nbeatsx,22.685458850310617,5.081924434590264,robi
dense,nlinear,20.64094792319048,3.4836436452161457,robi
dense,persistence,29.864242608663975,4.501714421320248,robi
dense,random_forest,20.529112116353964,4.505622719723342,robi
dense,ridge,21.01108549198681,3.5152600376553913,robi
dense,rnn_cov,20.083441729351616,3.7838380409181243,robi
dense,rolling_mean_15,42.46106720892101,5.253944597893162,robi
dense,seasonal_naive_15,26.216337210533034,6.973973029512781,robi
dense,seasonal_naive_24,73.36341831248257,8.175049580806023,robi
dense,tcn,19.87914266136664,3.8237888060822645,robi
dense,train_mean,45.0825994890676,5.226303764769694,robi
dense,transformer,21.884936093033527,3.8036673266721843,robi
dense,xgboost,20.773030188144247,3.9775224018658575,robi
dense_covariates,cnn_cov,26.18959867663886,8.507625524073873,robi
dense_covariates,dlinear,24.97568497682569,6.670681508189244,robi
dense_covariates,drift,66.59356058687989,21.826745008906983,robi
dense_covariates,gru_cov,21.71696223298307,5.544590096547523,robi
dense_covariates,lstm_cov,22.434531458071636,5.360481895083137,robi
dense_covariates,nbeats,22.55877978850705,4.593145260050756,robi
dense_covariates,nbeatsx,23.3873623889344,6.170297363763477,robi
dense_covariates,nlinear,23.173550723571744,5.620443840199921,robi
dense_covariates,persistence,29.864242608663975,4.501714421320248,robi
dense_covariates,random_forest,20.93118342287285,3.8859075751577237,robi
dense_covariates,ridge,25.58243339034598,7.182923718104849,robi
dense_covariates,rnn_cov,21.34933978597119,3.182927231268286,robi
dense_covariates,rolling_mean_15,42.46106720892101,5.253944597893162,robi
dense_covariates,seasonal_naive_15,26.216337210533034,6.973973029512781,robi
dense_covariates,seasonal_naive_24,73.36341831248257,8.175049580806023,robi
dense_covariates,tcn,25.575674871659814,10.197116876958992,robi
dense_covariates,train_mean,45.0825994890676,5.226303764769694,robi
dense_covariates,transformer,24.434163610961864,6.61910756279179,robi
dense_covariates,xgboost,20.99228650029603,3.7343235375228883,robi
