operator,family,setting,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost_kappa10,folds
gp,conformal_adaptive,0.5,0.49762590695689285,1.0126536853535533,0.13898306799956342,41.82762510337458,8
gp,conformal_adaptive,0.6,0.3908717456252667,1.03583977941227,0.138137478946453,33.14640083408594,8
gp,conformal_adaptive,0.7,0.28209026888604355,1.063077614394161,0.14542045167294632,25.970723149058635,8
gp,conformal_adaptive,0.8,0.19969056764831414,1.0938835560973101,0.1630753932180005,21.803894943813113,8
gp,conformal_adaptive,0.85,0.16992104139991465,1.1124551049369575,0.17747255782723964,19.902450088436296,8
gp,conformal_adaptive,0.9,0.12649381135296628,1.135974104962889,0.19413136450339302,19.26755866616507,8
gp,conformal_adaptive,0.95,0.06980900554844217,1.1750125720922857,0.22357877848659544,19.330000110591815,8
gp,conformal_marginal,0.5,0.4920774647887324,1.0103102547131146,0.1347266021385306,42.68253227962214,8
gp,conformal_marginal,0.6,0.41698676909944515,1.027982186911456,0.13568231636824798,36.21132234041662,8
gp,conformal_marginal,0.7,0.318075117370892,1.0474747636240416,0.13656486128567405,30.749700687561575,8
gp,conformal_marginal,0.8,0.21430857874519849,1.080695443207977,0.15256403280076275,25.41616218914485,8
gp,conformal_marginal,0.85,0.17181498079385404,1.1035820164543033,0.1689613444679708,22.958783810068617,8
gp,conformal_marginal,0.9,0.13433632095603926,1.1349485942774566,0.19490566862401876,21.347126044840557,8
gp,conformal_marginal,0.95,0.07007575757575757,1.1832948396521432,0.23185810889720565,20.81907502012419,8
gp,conformal_mondrian,0.5,0.49194408877507473,1.0116755100750645,0.136244131084565,42.37278610092733,8
gp,conformal_mondrian,0.6,0.41103819889031157,1.0294261190223903,0.1359935770853083,35.86403234399757,8
gp,conformal_mondrian,0.7,0.3136203585147247,1.0501642074060655,0.13856948286696352,30.15459425061097,8
gp,conformal_mondrian,0.8,0.21999039692701663,1.081855458306078,0.15535789492543156,24.751242010931858,8
gp,conformal_mondrian,0.85,0.17520273154075972,1.1058042534038468,0.1723317570433854,21.995439987135555,8
gp,conformal_mondrian,0.9,0.13014831412718736,1.1348366813632595,0.19409474425913584,20.109552073151566,8
gp,conformal_mondrian,0.95,0.0604726845924029,1.182096260296697,0.22878669820724296,21.027624686137273,8
gp,fixed_margin,0.0,0.5456679470763978,1.00190487039522,0.13909742792605329,45.85151244463939,8
gp,fixed_margin,0.05,0.28209026888604355,1.052000113914981,0.13267077874156208,29.151120788712888,8
gp,fixed_margin,0.1,0.16533290653008964,1.102095357434742,0.16440018024454,22.925008033613324,8
gp,fixed_margin,0.15,0.09795134443021768,1.152190600954503,0.20297023536195388,20.838422466212755,8
gp,fixed_margin,0.2,0.05641805377720871,1.202285844474264,0.24435634570691822,21.468587630524137,8
gp,fixed_margin,0.3,0.011363636363636364,1.3024763315137862,0.33499594247940445,28.14252659432116,8
gp,fixed_margin,0.4,0.003787878787878788,1.402666818553308,0.43466370869064413,36.888246258737986,8
gp,fixed_margin,0.5,0.0,1.50285730559283,0.5352205415263953,45.925087844135874,8
gp,quantile,0.5,0.5793587281263337,1.0135977324423844,0.15073022682700324,35.27824468663949,8
gp,quantile,0.7,0.4490503627827572,1.0405450265106866,0.1462988720815541,25.24960530978759,8
gp,quantile,0.8,0.3305324370465216,1.0577832418417978,0.13963273818283414,21.152028753321517,8
gp,quantile,0.9,0.2592296201451131,1.073161734683553,0.14498147295136815,19.19814713977101,8
gp,quantile,0.95,0.2047055057618438,1.09962565745565,0.17145849844427166,18.561742172756887,8
gp,quantile,0.98,0.10864810072556552,1.168480677371441,0.23632553468236497,20.831446311694425,8
gp,static_peak,0.95,0.09904502774221084,1.2485107068112826,0.33687807385468344,29.5152836762508,8
gp,static_peak,0.99,0.03787878787878787,1.3058428199405934,0.374636484950201,30.648548472473223,8
gp,static_peak,1.0,0.017045454545454544,1.3362144912110152,0.3988350452733481,32.534596871098216,8
