rmse,mae,mape,mase,model,fold,n_test,arm
12.328137424994067,6.993157383030303,8.88845413482695,0.5032425538739069,persistence,0,66,lags_only
18.598225368216266,15.327468233181817,19.372869070496954,1.1029973780949258,seasonal_naive_17,0,66,lags_only
28.668449098852022,23.602066990470085,31.582299263629015,1.6984551924727838,drift,0,66,lags_only
15.405034187266022,11.504053827718359,14.685171231413916,0.8278563045373971,rolling_mean_17,0,66,lags_only
17.10490958965199,13.695075762215916,17.866988780493728,0.9855269264779131,train_mean,0,66,lags_only
8.26413042224552,5.979550254984801,7.306176534708042,0.43030121825057216,ridge,0,66,lags_only
7.27352417578112,4.81392442443046,6.209982414356882,0.3464202918391354,random_forest,0,66,lags_only
7.899927057694084,5.182706964087801,6.830316460494785,0.37295867170337443,xgboost,0,66,lags_only
7.970361272251584,5.613658041381979,6.808526808364668,0.4039708324275847,cnn,0,66,lags_only
8.189883615430958,6.153579334916005,7.523306896532329,0.4428247228474264,lstm,0,66,lags_only
8.536017253114837,6.060303007791211,7.552932273670192,0.43611235895981165,gru,0,66,lags_only
8.326130846215099,6.008016743075762,7.440084575540926,0.43234972758363527,rnn,0,66,lags_only
11.9034681946321,6.404692080303031,7.936902045526432,0.45321239160845483,persistence,1,66,lags_only
18.20399476449837,14.74584554818182,17.740829161675016,1.0434537435036486,seasonal_naive_17,1,66,lags_only
17.093687452523895,13.741325996391614,15.99068531919478,0.972371370959245,drift,1,66,lags_only
15.981543160915672,12.446322806185384,15.032697718460803,0.8807336332483361,rolling_mean_17,1,66,lags_only
16.797381840910663,13.267839683333333,16.211324332006836,0.9388662685055358,train_mean,1,66,lags_only
7.328478193062425,5.678220737937453,6.767929981332695,0.4018054214715033,ridge,1,66,lags_only
7.055293838978295,4.514461543994703,5.555649223483076,0.3194548445928461,random_forest,1,66,lags_only
6.94725796584407,4.681170757818863,5.611849819530714,0.3312516149220198,xgboost,1,66,lags_only
6.457591204226321,4.917870062199814,5.7203405724598335,0.34800106305871664,cnn,1,66,lags_only
7.35550659810797,5.796693752541458,6.673039965114909,0.4101888749797325,lstm,1,66,lags_only
7.1256267429756885,5.614157336119148,6.518217032858614,0.39727213131662764,gru,1,66,lags_only
7.736398406169525,6.01427298929129,7.24424879110437,0.42558533823125977,rnn,1,66,lags_only
12.383534945959735,6.165200391060606,8.392819345602932,0.43360250130228833,persistence,2,66,lags_only
17.863853741012818,13.459433042878787,17.983275667636008,0.9466105662948179,seasonal_naive_17,2,66,lags_only
27.26240831040207,21.735475389551723,30.063620323263596,1.5286699374069561,drift,2,66,lags_only
15.719878121329208,11.949226610926916,15.73961940153096,0.8403967784467177,rolling_mean_17,2,66,lags_only
17.120238741498667,13.08190139239419,17.895186106644807,0.9200585229568168,train_mean,2,66,lags_only
9.633081279292156,6.715358638634072,8.729973181208242,0.4722954840325546,ridge,2,66,lags_only
9.201769953080618,5.589255254955503,8.03455345198483,0.39309591014749573,random_forest,2,66,lags_only
9.150790770278748,5.282748781057055,7.590887376600683,0.3715391130739706,xgboost,2,66,lags_only
8.62336704081139,5.8806386483242,7.778436023517832,0.4135890912589828,cnn,2,66,lags_only
9.778567664139352,6.475708384530756,8.66991109111373,0.4554407278160984,lstm,2,66,lags_only
9.897880311409827,6.547767995528741,8.789753348909086,0.46050872651682206,gru,2,66,lags_only
9.527904054588555,6.509702673683901,8.75018807984066,0.4578315679951411,rnn,2,66,lags_only
10.794713572725938,5.829912022272726,7.638648620071031,0.41275017719070484,persistence,3,66,lags_only
