horizon_hours,steps,lead_hours,model,rmse_mean,rmse_std,mae_mean,mase_mean,folds,operator
1.5,1,1.43,random_forest,10.397538766810312,1.2357603139895645,7.1839516263264915,0.5145177735249055,8,gp
1.5,1,1.43,xgboost,10.730519965702412,1.6155066735345596,7.650716025808394,0.548134310099045,8,gp
1.5,1,1.43,ridge,11.25880875403736,0.8770696645311125,7.9165164859749515,0.567078953531933,8,gp
1.5,1,1.43,persistence_h,12.124506490289916,0.919604587490294,6.473070091981433,0.4635986834879886,8,gp
1.5,1,1.43,seasonal_naive_17,18.306637366185488,1.6507976038694707,14.524147081292947,1.0404341285758882,8,gp
3.0,2,2.87,random_forest,11.850861380793617,1.6644964761900454,8.479295701010404,0.6076863191346106,8,gp
3.0,2,2.87,xgboost,12.184952224286294,1.649416441547792,9.01246712348411,0.6460226867964158,8,gp
3.0,2,2.87,ridge,14.451318574577556,1.3536365484615593,11.601515256918116,0.831097245976106,8,gp
3.0,2,2.87,persistence_h,17.41418284659572,1.5259990476791292,12.534233750099231,0.8978707451854953,8,gp
3.0,2,2.87,seasonal_naive_17,18.306637366185488,1.6507976038694707,14.524147081292947,1.0406071974778288,8,gp
6.0,4,5.73,xgboost,12.364731327074539,2.32339794687685,9.564099073127215,0.6830831622663163,8,gp
6.0,4,5.73,random_forest,12.48215976089264,2.3832731812195003,9.844732648158946,0.7032769006728122,8,gp
6.0,4,5.73,ridge,15.874158708843877,2.0803239128008024,12.967970606338136,0.9267400203295016,8,gp
6.0,4,5.73,seasonal_naive_17,18.350505136711533,1.5788312824517887,14.569573717024866,1.0406345718234122,8,gp
6.0,4,5.73,persistence_h,25.109328943170382,2.713362431678435,21.442948063275693,1.53135920538352,8,gp
12.0,8,11.47,xgboost,12.791654767667044,2.9380972013081004,9.19264641979079,0.654993844388605,8,gp
12.0,8,11.47,random_forest,12.832874752373012,3.0383295632649308,9.384231320999229,0.6682680233231719,8,gp
12.0,8,11.47,ridge,14.4959215228997,2.0025428316742704,11.037504872466751,0.786088345621612,8,gp
12.0,8,11.47,seasonal_naive_17,18.381161369426398,1.6964552872943883,14.618312396511476,1.0403073105417053,8,gp
12.0,8,11.47,persistence_h,31.15926288860221,3.3961508920285186,25.866277117269618,1.8408242403895807,8,gp
24.0,17,24.37,random_forest,12.816589254041562,2.7149520506508287,9.769721404460899,0.6998285697427433,8,gp
24.0,17,24.37,xgboost,13.006324987417452,1.9168627071011202,9.892360598322593,0.7081453105110461,8,gp
24.0,17,24.37,ridge,15.07703684735963,1.429455698812569,12.307114387046706,0.8807833438787237,8,gp
24.0,17,24.37,persistence_h,18.26066568200486,1.8236180769529187,14.501594921818281,1.0378543365232948,8,gp
24.0,17,24.37,seasonal_naive_17,18.26066568200486,1.8236180769529187,14.501594921818281,1.0378543365232948,8,gp
