rmse,mae,mape,mase,model,fold,n_test,base_model,variant,n_parameters
22.217004748615416,13.846250000000001,11.769277074468782,0.8026087824796384,persistence,0,64,persistence,baseline,0
22.55274983233752,15.558125,12.227333355157661,0.9018389646233474,seasonal_naive_15,0,64,seasonal_naive_15,baseline,0
35.162209183314445,30.005377906976747,21.618948255504613,1.7392853537788244,drift,0,64,drift,baseline,0
34.05211618322062,27.745208333333327,20.848923657743878,1.608272844998507,rolling_mean_15,0,64,rolling_mean_15,baseline,0
33.41321644128743,26.89336594202898,20.80747525478881,1.5588951301262979,train_mean,0,64,train_mean,baseline,0
62.535967450739896,54.690625,36.88348014076493,3.1701851363582536,seasonal_naive_24,0,64,seasonal_naive_24,baseline,0
33.743654218237836,18.15,21.43764349610528,1.0691261923247874,persistence,1,64,persistence,baseline,0
36.7334125830966,20.762500000000003,23.10690702658165,1.2230155684927495,seasonal_naive_15,1,64,seasonal_naive_15,baseline,0
77.89357712707064,64.08457107843137,73.06035938746707,3.7749032211487896,drift,1,64,drift,baseline,0
44.94696735783925,37.3065,39.00680446343849,2.197540291678495,rolling_mean_15,1,64,rolling_mean_15,baseline,0
49.51616836311511,40.519333740831286,45.295011911211816,2.3867923414805645,train_mean,1,64,train_mean,baseline,0
72.4753930655088,67.43,61.709200767137176,3.971965793303605,seasonal_naive_24,1,64,seasonal_naive_24,baseline,0
25.596458739442845,15.056249999999999,16.473577587928816,0.8600852922488228,persistence,2,64,persistence,baseline,0
21.245667793693848,12.65,12.528558745496499,0.7226287386930749,seasonal_naive_15,2,64,seasonal_naive_15,baseline,0
54.639957218982815,48.06638771186441,36.0593398883858,2.7457828557910586,drift,2,64,drift,baseline,0
35.59184510842648,30.015333333333334,30.944003353627096,1.7146199579540613,rolling_mean_15,2,64,rolling_mean_15,baseline,0
42.708232798010286,32.22924418604649,38.20954696978267,1.8410891759046557,train_mean,2,64,train_mean,baseline,0
61.56050519610768,55.2475,50.18856092488373,3.1560024696399727,seasonal_naive_24,2,64,seasonal_naive_24,baseline,0
27.444173334243462,16.775000000000002,19.61440928128812,0.9920038215652045,persistence,3,64,persistence,baseline,0
19.774393163887485,13.385625000000001,12.446355961066855,0.7915702625358415,seasonal_naive_15,3,64,seasonal_naive_15,baseline,0
49.088274562816586,37.71306902985074,45.7673220325386,2.230194253386843,drift,3,64,drift,baseline,0
40.23211733318433,35.94708333333333,35.976460681630726,2.1257611946819392,rolling_mean_15,3,64,rolling_mean_15,baseline,0
45.277572136973454,34.7218354283054,41.54253078102028,2.0533051228993777,train_mean,3,64,train_mean,baseline,0
72.49819946040039,63.669375,58.443496307352746,3.765142373571868,seasonal_naive_24,3,64,seasonal_naive_24,baseline,0
28.961874076102188,17.11875,16.906050488337193,1.0359129358274277,persistence,4,64,persistence,baseline,0
20.824963985563095,14.774375,12.84110085826867,0.8940469474269648,seasonal_naive_15,4,64,seasonal_naive_15,baseline,0
85.29452673296218,73.56648750000001,46.77173905875883,4.45175471600653,drift,4,64,drift,baseline,0
44.31296810942217,37.86383333333333,36.09990934176943,2.2912674552764516,rolling_mean_15,4,64,rolling_mean_15,baseline,0
45.06292485010769,37.38413373544093,37.10307634345872,2.262239224899353,train_mean,4,64,train_mean,baseline,0
74.75523844520865,65.195625,54.50885299233925,3.945205771265662,seasonal_naive_24,4,64,seasonal_naive_24,baseline,0
34.07959066655584,18.05375,17.792677489528657,1.104010286603337,persistence,5,64,persistence,baseline,0
33.628890852955585,21.90375,19.102574989344216,1.3394427925050385,seasonal_naive_15,5,64,seasonal_naive_15,baseline,0
50.201725029046585,43.35623493975905,30.86743804544372,2.6512901398260746,drift,5,64,drift,baseline,0
45.50954762830908,37.47149999999999,30.304286638719912,2.2914309467261336,rolling_mean_15,5,64,rolling_mean_15,baseline,0
48.33474695463891,41.493157894736854,30.728386693664273,2.537360556086461,train_mean,5,64,train_mean,baseline,0
76.60313440062359,66.44,46.24784516770718,4.062892387560795,seasonal_naive_24,5,64,seasonal_naive_24,baseline,0
33.72258071381845,19.95125,20.562722567637344,1.1840196084538335,persistence,6,64,persistence,baseline,0
21.873549094739978,14.506250000000001,13.018618779103686,0.8608826236518223,seasonal_naive_15,6,64,seasonal_naive_15,baseline,0
94.34107526378423,81.18098214285715,83.70394282021815,4.817736968394629,drift,6,64,drift,baseline,0
47.87110466891507,41.40858333333334,39.42956755167898,2.45741868930324,rolling_mean_15,6,64,rolling_mean_15,baseline,0
48.13438552532053,41.50431841563786,39.458324496015884,2.463100148593535,train_mean,6,64,train_mean,baseline,0
84.29664673046017,79.3925,65.89231466710149,4.711598359209121,seasonal_naive_24,6,64,seasonal_naive_24,baseline,0
33.148604372295765,18.579154929577467,18.32407390493533,1.1153560035762369,persistence,7,71,persistence,baseline,0
33.097070377990164,23.68563380281691,20.73956702781955,1.421911489549159,seasonal_naive_15,7,71,seasonal_naive_15,baseline,0
86.12713957706163,73.11643192488262,43.67546593928232,4.389373554211796,drift,7,71,drift,baseline,0
47.171871282051036,40.83365258215963,34.94402725276525,2.451352589936868,rolling_mean_15,7,71,rolling_mean_15,baseline,0
48.21354884308736,42.304511660124696,36.50192846393064,2.5396521659531737,train_mean,7,71,train_mean,baseline,0
82.18226175081136,73.28788732394365,55.90618253651054,4.3996664770822465,seasonal_naive_24,7,71,seasonal_naive_24,baseline,0
21.03822919088491,15.783487391470915,11.380424928253376,0.9149022730740233,ridge__default_cov,0,64,ridge,default_cov,0
24.545689947507533,16.67907497026772,17.710876977268203,0.9824813176012119,ridge__default_cov,1,64,ridge,default_cov,0
15.78402677115146,12.058676155260809,12.263413534064135,0.6888494814533104,ridge__default_cov,2,64,ridge,default_cov,0
18.5932142912451,14.687700022000225,14.704389288068887,0.8685695708988114,ridge__default_cov,3,64,ridge,default_cov,0
18.65684004487966,14.059388236511552,12.645807099202516,0.8507807020969571,ridge__default_cov,4,64,ridge,default_cov,0
26.23792986722151,17.651015926258292,14.715637147965449,1.079382574345412,ridge__default_cov,5,64,ridge,default_cov,0
