base_model,default,default_cov,tuned,covariates_cost,tuning_gain
cnn_cov,20.300224722942378,26.18959867663886,20.07236950002312,0.22487453994282877,0.011224270963943805
dlinear,20.95258667773306,24.97568497682569,20.362757378416344,0.16108059910371078,0.02815066742778564
gru_cov,20.86291516106368,21.71696223298307,20.298524775828344,0.039326267769729396,0.027052326143215726
lstm_cov,19.941816812756137,22.434531458071636,20.213337432795367,0.11111061757515127,-0.013615641071657348
nbeats,22.55877978850705,22.55877978850705,21.05529248010007,0.0,0.06664754576721188
nbeatsx,22.685458850310617,23.3873623889344,20.33371467994326,0.030012086311874294,0.10366747200862357
nlinear,20.64094792319048,23.173550723571744,20.29364113038893,0.10928850872236605,0.01682610673182043
random_forest,20.529112116353968,20.529112116353964,19.46711180218049,-1.7305734698435045e-16,0.0517314294039762
ridge,21.01108549198681,21.01108549198681,20.00033254270587,0.0,0.04810569875918224
rnn_cov,20.083441729351616,21.34933978597119,20.2557981009815,0.05929448260743895,-0.008582013678362152
tcn,19.87914266136664,25.575674871659814,19.959082783091436,0.2227324298920242,-0.004021306305133205
transformer,21.884936093033527,24.434163610961864,22.513600137926478,0.10433045953677254,-0.028725879857289985
xgboost,20.773030188144247,20.773030188144247,19.699972837137913,0.0,0.051656274567913434
