arm,model,rmse_mean,rmse_std,operator
dense_no_context,cnn,7.875287876958043,1.0293543644181335,gp
dense_no_context,drift,23.64523943381463,5.188770902231117,gp
dense_no_context,gru,8.558695562371362,1.0315938293865061,gp
dense_no_context,lstm,8.816085011184338,0.7972446516240573,gp
dense_no_context,persistence,12.163999253789434,1.0896886305206146,gp
dense_no_context,random_forest,8.61876338701693,1.3950497084494067,gp
dense_no_context,ridge,8.798585781342185,1.3116375754294693,gp
dense_no_context,rnn,8.625381791774762,0.864786515910958,gp
dense_no_context,rolling_mean_17,16.137667212050456,1.6374984945898232,gp
dense_no_context,seasonal_naive_17,18.381161369426398,1.6964552872943883,gp
dense_no_context,train_mean,18.21237450909714,2.0493313675615794,gp
dense_no_context,xgboost,8.810599995415108,1.667263103187624,gp
full_dense,cnn,7.875287876958043,1.0293543644181335,gp
full_dense,drift,23.64523943381463,5.188770902231117,gp
full_dense,gru,8.558695562371362,1.0315938293865061,gp
full_dense,lstm,8.816085011184338,0.7972446516240573,gp
full_dense,persistence,12.163999253789434,1.0896886305206146,gp
full_dense,random_forest,8.650911632770706,1.3590742632930162,gp
full_dense,ridge,9.007191423534952,1.1571342792388126,gp
full_dense,rnn,8.625381791774762,0.864786515910958,gp
full_dense,rolling_mean_17,16.137667212050456,1.6374984945898232,gp
full_dense,seasonal_naive_17,18.381161369426398,1.6964552872943883,gp
full_dense,train_mean,18.21237450909714,2.0493313675615794,gp
full_dense,xgboost,8.73311103413673,1.555613227615292,gp
full_dense_covariates,cnn,7.875287876958043,1.0293543644181335,gp
full_dense_covariates,cnn_cov,14.311033146878383,6.14427724521235,gp
full_dense_covariates,drift,23.64523943381463,5.188770902231117,gp
full_dense_covariates,gru,8.558695562371362,1.0315938293865061,gp
full_dense_covariates,gru_cov,10.643271650937958,1.4470844292310627,gp
full_dense_covariates,lstm,8.816085011184338,0.7972446516240573,gp
full_dense_covariates,lstm_cov,11.938162064130802,2.992223329018459,gp
full_dense_covariates,persistence,12.163999253789434,1.0896886305206146,gp
full_dense_covariates,random_forest,9.013617591807861,1.3172645857357883,gp
full_dense_covariates,ridge,14.1456872402726,4.452106298060264,gp
full_dense_covariates,rnn,8.625381791774762,0.864786515910958,gp
full_dense_covariates,rnn_cov,10.006680859826645,1.901244912172029,gp
full_dense_covariates,rolling_mean_17,16.137667212050456,1.6374984945898232,gp
full_dense_covariates,seasonal_naive_17,18.381161369426398,1.6964552872943883,gp
full_dense_covariates,train_mean,18.21237450909714,2.0493313675615794,gp
full_dense_covariates,xgboost,8.797665576779089,1.374802568115005,gp
full_sparse,drift,23.64523943381463,5.188770902231117,gp
full_sparse,persistence,12.163999253789434,1.0896886305206146,gp
full_sparse,random_forest,10.562437655674517,1.337033266345402,gp
full_sparse,ridge,11.299558130010983,0.9572555653412492,gp
full_sparse,rolling_mean_17,16.137667212050456,1.6374984945898232,gp
full_sparse,seasonal_naive_17,18.381161369426398,1.6964552872943883,gp
full_sparse,train_mean,18.21237450909714,2.0493313675615794,gp
full_sparse,xgboost,10.78683572084131,1.3632129221306306,gp
lags_only,cnn,7.875287876958043,1.0293543644181335,gp
lags_only,drift,23.64523943381463,5.188770902231117,gp
lags_only,gru,8.558695562371362,1.0315938293865061,gp
lags_only,lstm,8.816085011184338,0.7972446516240573,gp
lags_only,persistence,12.163999253789434,1.0896886305206146,gp
lags_only,random_forest,8.672922983653613,1.4304858673417544,gp
lags_only,ridge,8.87939592284001,1.3316391409598234,gp
lags_only,rnn,8.625381791774762,0.864786515910958,gp
lags_only,rolling_mean_17,16.137667212050456,1.6374984945898232,gp
lags_only,seasonal_naive_17,18.381161369426398,1.6964552872943883,gp
lags_only,train_mean,18.21237450909714,2.0493313675615794,gp
lags_only,xgboost,8.845865145599136,1.661012316637254,gp
