model_a,model_b,dm_stat,p_value,significant_fdr,winner
cnn_cov__default_cov,nbeatsx__default,6.621534545185577,8.763301195813256e-11,True,nbeatsx__default
cnn_cov__default_cov,nbeatsx__default_cov,6.19510176632902,1.1730356686001642e-09,True,nbeatsx__default_cov
cnn_cov__default_cov,nbeatsx__tuned,7.232807670817424,1.6726620089002608e-12,True,nbeatsx__tuned
cnn_cov__default_cov,nlinear__default,6.5863896136025595,1.0909739778242056e-10,True,nlinear__default
cnn_cov__default_cov,nlinear__default_cov,4.353910269491127,1.606636717932375e-05,True,nlinear__default_cov
cnn_cov__default_cov,nlinear__tuned,6.750565653916085,3.8891556641829084e-11,True,nlinear__tuned
cnn_cov__default_cov,persistence,3.4261169669849205,0.0006599684769104108,True,persistence
cnn_cov__default_cov,random_forest__default,7.064026120055278,5.1305626413977734e-12,True,random_forest__default
cnn_cov__default_cov,random_forest__default_cov,7.064026120055279,5.1305626413977734e-12,True,random_forest__default_cov
cnn_cov__default_cov,random_forest__tuned,6.845911575554265,2.116640196447861e-11,True,random_forest__tuned
cnn_cov__default_cov,ridge__default,6.683375584077111,5.946443337734308e-11,True,ridge__default
cnn_cov__default_cov,ridge__default_cov,6.683375584077111,5.946443337734308e-11,True,ridge__default_cov
cnn_cov__default_cov,ridge__tuned,6.9410019235755955,1.1460610238600566e-11,True,ridge__tuned
cnn_cov__default_cov,rnn_cov__default,6.812888771306929,2.6151303345045562e-11,True,rnn_cov__default
cnn_cov__default_cov,rnn_cov__default_cov,6.103009634864689,2.016381950298296e-09,True,rnn_cov__default_cov
cnn_cov__default_cov,rnn_cov__tuned,7.279300925137491,1.2239098623467726e-12,True,rnn_cov__tuned
cnn_cov__default_cov,rolling_mean_17,-1.016419283680468,0.3098952830089048,False,tie
cnn_cov__default_cov,seasonal_naive_17,-3.839263263305996,0.0001383691136447318,True,cnn_cov__default_cov
cnn_cov__default_cov,seasonal_naive_24,-14.150587821830927,0.0,True,cnn_cov__default_cov
cnn_cov__default_cov,tcn__default,7.866492301500038,2.0872192862952943e-14,True,tcn__default
cnn_cov__default_cov,tcn__default_cov,4.97746607780107,8.734565390966509e-07,True,tcn__default_cov
cnn_cov__default_cov,tcn__tuned,7.198555892144644,2.1036505870597466e-12,True,tcn__tuned
cnn_cov__default_cov,train_mean,-3.6715836557650916,0.0002655845346621888,True,cnn_cov__default_cov
cnn_cov__default_cov,transformer__default,6.530615361805726,1.5415979603972119e-10,True,transformer__default
cnn_cov__default_cov,transformer__default_cov,2.102419555324295,0.03598943131717869,True,transformer__default_cov
cnn_cov__default_cov,transformer__tuned,6.953190808650786,1.0588641075059968e-11,True,transformer__tuned
cnn_cov__default_cov,xgboost__default,7.027348534585012,6.527445250981145e-12,True,xgboost__default
cnn_cov__default_cov,xgboost__default_cov,7.027348534585012,6.527445250981145e-12,True,xgboost__default_cov
cnn_cov__default_cov,xgboost__tuned,6.863123798950462,1.8951284985746497e-11,True,xgboost__tuned
cnn_cov__tuned,dlinear__default,-2.244713353734204,0.025199785883743386,True,cnn_cov__tuned
cnn_cov__tuned,dlinear__default_cov,-7.513055474351206,2.4868995751603507e-13,True,cnn_cov__tuned
cnn_cov__tuned,dlinear__tuned,-5.091159353688915,4.946470779643164e-07,True,cnn_cov__tuned
cnn_cov__tuned,drift,-16.639182949241054,0.0,True,cnn_cov__tuned
cnn_cov__tuned,gru_cov__default,-3.7907971422991404,0.00016748513284881028,True,cnn_cov__tuned
cnn_cov__tuned,gru_cov__default_cov,-5.956507854275254,4.708225365135377e-09,True,cnn_cov__tuned
cnn_cov__tuned,gru_cov__tuned,0.22920852099782635,0.8187980231654235,False,tie
cnn_cov__tuned,lstm_cov__default,-2.7076416975434405,0.006995950943003759,True,cnn_cov__tuned
cnn_cov__tuned,lstm_cov__default_cov,-6.648670594946611,7.394751477818318e-11,True,cnn_cov__tuned
cnn_cov__tuned,lstm_cov__tuned,0.12705456733452292,0.8989452169817385,False,tie
cnn_cov__tuned,nbeats__default,1.6032090467643143,0.10948650970968288,False,tie
cnn_cov__tuned,nbeats__default_cov,1.6032090467643143,0.10948650970968288,False,tie
cnn_cov__tuned,nbeats__tuned,1.4082025240541982,0.15965520853468962,False,tie
cnn_cov__tuned,nbeatsx__default,-1.8823902728953996,0.06033269256915319,False,tie
cnn_cov__tuned,nbeatsx__default_cov,-4.342254641016707,1.6911870909464e-05,True,cnn_cov__tuned
cnn_cov__tuned,nbeatsx__tuned,0.8901459841852837,0.37379290550748157,False,tie
cnn_cov__tuned,nlinear__default,-2.984828813800509,0.002968835744015408,True,cnn_cov__tuned
cnn_cov__tuned,nlinear__default_cov,-7.720689327275153,5.839773109528323e-14,True,cnn_cov__tuned
cnn_cov__tuned,nlinear__tuned,-2.119771726509142,0.034491204007492504,True,cnn_cov__tuned
cnn_cov__tuned,persistence,-6.405103104738367,3.327311759449003e-10,True,cnn_cov__tuned
cnn_cov__tuned,random_forest__default,-0.9269732129778312,0.3543639615465406,False,tie
cnn_cov__tuned,random_forest__default_cov,-0.9269732129778283,0.35436396154654215,False,tie
cnn_cov__tuned,random_forest__tuned,-1.195284368104085,0.23250848894750664,False,tie
cnn_cov__tuned,ridge__default,-2.594220765800422,0.009743891693483775,True,cnn_cov__tuned
cnn_cov__tuned,ridge__default_cov,-2.594220765800422,0.009743891693483775,True,cnn_cov__tuned
cnn_cov__tuned,ridge__tuned,-1.1903259346964885,0.23445321333798308,False,tie
cnn_cov__tuned,rnn_cov__default,-2.8479652190975453,0.004571439764405882,True,cnn_cov__tuned
cnn_cov__tuned,rnn_cov__default_cov,-3.86380630619589,0.00012551688030493224,True,cnn_cov__tuned
cnn_cov__tuned,rnn_cov__tuned,0.5646792405979795,0.5725299667256367,False,tie
cnn_cov__tuned,rolling_mean_17,-14.478503608424376,0.0,True,cnn_cov__tuned
cnn_cov__tuned,seasonal_naive_17,-15.559985541221065,0.0,True,cnn_cov__tuned
cnn_cov__tuned,seasonal_naive_24,-19.493183155677436,0.0,True,cnn_cov__tuned
cnn_cov__tuned,tcn__default,3.616084173506867,0.00032778046060921717,True,tcn__default
cnn_cov__tuned,tcn__default_cov,-6.486848009889075,2.018734068798267e-10,True,cnn_cov__tuned
cnn_cov__tuned,tcn__tuned,0.681036175230427,0.4961449175885013,False,tie
cnn_cov__tuned,train_mean,-15.308146030353742,0.0,True,cnn_cov__tuned
cnn_cov__tuned,transformer__default,-2.5424183842932693,0.011293305359924233,True,cnn_cov__tuned
cnn_cov__tuned,transformer__default_cov,-9.218406294780449,0.0,True,cnn_cov__tuned
cnn_cov__tuned,transformer__tuned,-1.165539901139751,0.24432281665484834,False,tie
cnn_cov__tuned,xgboost__default,-1.247208684647542,0.21287391516407395,False,tie
cnn_cov__tuned,xgboost__default_cov,-1.247208684647542,0.21287391516407395,False,tie
cnn_cov__tuned,xgboost__tuned,-1.2783327688429844,0.2016895425599592,False,tie
dlinear__default,dlinear__default_cov,-7.189210653898491,2.2388757514590907e-12,True,dlinear__default
dlinear__default,dlinear__tuned,-3.9222181399477347,9.93179977499814e-05,True,dlinear__default
dlinear__default,drift,-16.20655623072369,0.0,True,dlinear__default
dlinear__default,gru_cov__default,-2.7269347881591037,0.006605173392115082,True,dlinear__default
dlinear__default,gru_cov__default_cov,-4.906896677142765,1.2345619975207e-06,True,dlinear__default
