horizon_hours,steps,lead_hours,fold,tau,method,group,n,coverage,coverage_lo,coverage_hi,coverage_gap,sla_violation_rate,mean_allocation_ratio,overprovision_ratio,cost,error,operator
1.5,1,1.65,0,0.8,marginal,ALL,65,0.7692307692307693,0.6481033437257788,0.8647062868093746,-0.03076923076923077,0.23076923076923078,1.068074346946958,0.1834171914701147,76.1017892268254,,robi
1.5,1,1.65,0,0.8,marginal,baseline,65,0.7692307692307693,0.6481033437257788,0.8647062868093746,-0.03076923076923077,0.23076923076923078,1.068074346946958,0.1834171914701147,76.1017892268254,,robi
1.5,1,1.65,0,0.8,adaptive,ALL,65,0.7384615384615385,0.6146062633703777,0.8396712447265423,-0.06153846153846154,0.26153846153846155,1.0750803589989286,0.18747974393002,58.104059754382625,,robi
1.5,1,1.65,0,0.8,adaptive,baseline,65,0.7384615384615385,0.6146062633703777,0.8396712447265423,-0.06153846153846154,0.26153846153846155,1.0750803589989286,0.18747974393002,58.104059754382625,,robi
1.5,1,1.65,0,0.8,mondrian,ALL,65,0.7692307692307693,0.6481033437257788,0.8647062868093746,-0.03076923076923077,0.23076923076923078,1.068074346946958,0.1834171914701147,76.1017892268254,,robi
1.5,1,1.65,0,0.8,mondrian,baseline,65,0.7692307692307693,0.6481033437257788,0.8647062868093746,-0.03076923076923077,0.23076923076923078,1.068074346946958,0.1834171914701147,76.1017892268254,,robi
1.5,1,1.65,0,0.8,aci,ALL,65,0.7692307692307693,0.6481033437257788,0.8647062868093746,-0.03076923076923077,0.23076923076923078,1.135331041153869,0.27742816001159926,70.57384729473405,,robi
1.5,1,1.65,0,0.8,aci,baseline,65,0.7692307692307693,0.6481033437257788,0.8647062868093746,-0.03076923076923077,0.23076923076923078,1.135331041153869,0.27742816001159926,70.57384729473405,,robi
1.5,1,1.65,0,0.9,marginal,ALL,65,0.7846153846153846,0.6651126854524477,0.87694692475782,-0.11538461538461542,0.2153846153846154,1.11626858512269,0.23309601637535665,65.61358916766824,,robi
1.5,1,1.65,0,0.9,marginal,baseline,65,0.7846153846153846,0.6651126854524477,0.87694692475782,-0.11538461538461542,0.2153846153846154,1.11626858512269,0.23309601637535665,65.61358916766824,,robi
1.5,1,1.65,0,0.9,adaptive,ALL,65,0.8769230769230769,0.7718141059386241,0.945336898398113,-0.023076923076923106,0.12307692307692308,1.1435252451750542,0.23268911598140488,53.775214074891984,,robi
1.5,1,1.65,0,0.9,adaptive,baseline,65,0.8769230769230769,0.7718141059386241,0.945336898398113,-0.023076923076923106,0.12307692307692308,1.1435252451750542,0.23268911598140488,53.775214074891984,,robi
1.5,1,1.65,0,0.9,mondrian,ALL,65,0.7846153846153846,0.6651126854524477,0.87694692475782,-0.11538461538461542,0.2153846153846154,1.11626858512269,0.23309601637535665,65.61358916766824,,robi
1.5,1,1.65,0,0.9,mondrian,baseline,65,0.7846153846153846,0.6651126854524477,0.87694692475782,-0.11538461538461542,0.2153846153846154,1.11626858512269,0.23309601637535665,65.61358916766824,,robi
1.5,1,1.65,0,0.9,aci,ALL,65,0.8769230769230769,0.7718141059386241,0.945336898398113,-0.023076923076923106,0.12307692307692308,1.263234345698028,0.37849797688741604,56.679016906738276,,robi
1.5,1,1.65,0,0.9,aci,baseline,65,0.8769230769230769,0.7718141059386241,0.945336898398113,-0.023076923076923106,0.12307692307692308,1.263234345698028,0.37849797688741604,56.679016906738276,,robi
1.5,1,1.65,0,0.95,marginal,ALL,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.2600401712309675,0.3439250975249312,51.374230083759024,,robi
1.5,1,1.65,0,0.95,marginal,baseline,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.2600401712309675,0.3439250975249312,51.374230083759024,,robi
1.5,1,1.65,0,0.95,adaptive,ALL,65,0.9076923076923077,0.809834160783301,0.9653663477859001,-0.04230769230769227,0.09230769230769231,1.2218515281891777,0.3112412864374434,55.561921166431155,,robi
1.5,1,1.65,0,0.95,adaptive,baseline,65,0.9076923076923077,0.809834160783301,0.9653663477859001,-0.04230769230769227,0.09230769230769231,1.2218515281891777,0.3112412864374434,55.561921166431155,,robi
1.5,1,1.65,0,0.95,mondrian,ALL,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.2600401712309675,0.3439250975249312,51.374230083759024,,robi
1.5,1,1.65,0,0.95,mondrian,baseline,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.2600401712309675,0.3439250975249312,51.374230083759024,,robi
1.5,1,1.65,0,0.95,aci,ALL,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.3310143445169837,0.428423909031706,56.49552259239784,,robi
1.5,1,1.65,0,0.95,aci,baseline,65,0.9230769230769231,0.8295437095110751,0.974551532980957,-0.026923076923076827,0.07692307692307693,1.3310143445169837,0.428423909031706,56.49552259239784,,robi
1.5,1,1.65,1,0.8,marginal,ALL,65,0.8307692307692308,0.7173438415040521,0.9123739451185258,0.03076923076923077,0.16923076923076924,1.1330451189146888,0.30072754604268787,64.94323638446512,,robi
1.5,1,1.65,1,0.8,marginal,baseline,50,0.84,0.7088736934048894,0.9282992328167138,0.039999999999999925,0.16,1.1512111817606911,0.30976119310852335,54.06636925659179,,robi
1.5,1,1.65,1,0.8,marginal,elevated_risk,15,0.8,0.519108866193147,0.9566879948941633,0.0,0.2,1.076572358328203,0.269109781312264,101.19946014404294,,robi
1.5,1,1.65,1,0.8,adaptive,ALL,65,0.7538461538461538,0.6312714174061591,0.8522769454002582,-0.04615384615384621,0.24615384615384617,1.1265149370690661,0.31713269208670697,54.617171351184346,,robi
1.5,1,1.65,1,0.8,adaptive,baseline,50,0.78,0.6403881114342105,0.8847341739621514,-0.020000000000000018,0.22,1.1467045121483865,0.3268059708830546,46.02185585739682,,robi
1.5,1,1.65,1,0.8,adaptive,elevated_risk,15,0.6666666666666666,0.3838037325411542,0.881758896633119,-0.13333333333333341,0.3333333333333333,1.063751692800743,0.2794069047809512,83.26822299714276,,robi
1.5,1,1.65,1,0.8,mondrian,ALL,65,0.8307692307692308,0.7173438415040521,0.9123739451185258,0.03076923076923077,0.16923076923076924,1.1330451189146888,0.30072754604268787,64.94323638446512,,robi
