operator,model,rmse_default,rmse_tuned,gain,dm_stat,p_value,lookback,covariates,context
gp,ridge,9.007191423534952,8.68751844926732,0.035490860495354506,-3.1447306044336156,0.0017559721050761645,24,True,none
gp,random_forest,8.650911632770706,8.743764433763683,-0.010733296666820607,0.5710985494928306,0.5681758333762703,12,False,none
gp,xgboost,8.73311103413673,8.753271467876667,-0.002308505372384733,0.21273347960546785,0.8316169567127922,12,True,rain_only
gp,cnn_cov,14.311033146878383,8.278792243001062,0.42150981288119743,-7.098517359037493,4.087397087459976e-12,12,False,rain_only
gp,lstm_cov,11.938162064130802,8.370031989148023,0.29888437230246034,-6.664657216689545,6.689071518906076e-11,8,False,rain_only
gp,gru_cov,10.643271650937958,8.32864430696979,0.21747329391561537,-6.126433431919281,1.788892811660503e-09,48,False,rain_only
gp,rnn_cov,10.006680859826645,8.241329196992286,0.17641730435529665,-4.507231949260935,8.095174801381333e-06,8,False,rain_only
gp,dlinear,14.962464123792879,9.670570953994684,0.3536779186914259,-6.767985932722555,3.4818148364479384e-11,12,True,rain_only
gp,nlinear,12.250705106349198,8.907395806864878,0.2729074996468224,-7.171546956501137,2.51865195366463e-12,24,True,none
gp,tcn,11.126650042788837,8.171224027594853,0.26561687514467935,-6.394449238979786,3.5498715078574605e-10,12,False,rain_only
gp,transformer,13.611635386824414,8.699140387465784,0.36090409857097355,-9.7485799643213,0.0,8,False,none
gp,nbeats,7.833404959499502,7.883485249579959,-0.006393170063259012,0.2522177044730628,0.8009709427461553,12,False,rain_only
gp,nbeatsx,9.948544921379227,8.080257149821712,0.1877950782071257,-5.022237404620447,6.997902719518834e-07,24,False,none
robi,ridge,21.01108549198681,20.00033254270587,0.04810569875918224,-2.318984695561866,0.020795659430777436,48,False,all
robi,random_forest,20.529112116353964,19.467111802180494,0.05173142940397586,-2.200723795226401,0.02820215324147668,36,False,rain_only
robi,xgboost,20.773030188144247,19.699972837137913,0.051656274567913434,-1.5701096775717318,0.1170085673729484,36,True,rain_only
robi,cnn_cov,26.18959867663886,20.07236950002312,0.23357475813756207,-5.7287327003224116,1.7176245314942662e-08,12,False,all
robi,lstm_cov,22.434531458071636,20.213337432795367,0.09900781879164736,-2.676394649648672,0.007684755779701735,48,False,rain_only
robi,gru_cov,21.71696223298307,20.298524775828344,0.06531472689124297,-1.9685896300005883,0.049548886249587865,48,False,rain_only
robi,rnn_cov,21.34933978597119,20.2557981009815,0.05122133498986524,-1.7107576117616925,0.0877424362829975,48,False,rain_only
robi,dlinear,24.97568497682569,20.362757378416344,0.1846967401570594,-5.421346691489798,9.196652928089577e-08,48,False,none
robi,nlinear,23.173550723571744,20.29364113038893,0.12427571534186245,-4.183642470140668,3.385360691487982e-05,48,False,rain_only
robi,tcn,25.575674871659814,19.959082783091436,0.21960679891157342,-4.981858081219989,8.596321867671008e-07,12,False,all
robi,transformer,24.434163610961864,22.513600137926478,0.07860156392559174,-1.8507116577379275,0.06479713820424893,48,True,rain_only
robi,nbeats,22.55877978850705,21.05529248010007,0.06664754576721188,-1.747000289514771,0.08122993051115013,8,False,rain_only
robi,nbeatsx,23.3873623889344,20.33371467994326,0.13056828120284122,-2.7924632961492364,0.005424214197335964,8,False,rain_only
