model,channel,rmse_base,rmse_permuted,importance,importance_sd
gru_cov,demand,20.3633101856343,46.3354143437321,25.972104158097796,2.1326354448279154
gru_cov,day_sin1,20.3633101856343,25.325715730635192,4.962405545000891,1.4987208524986835
gru_cov,day_cos1,20.3633101856343,23.764653381504694,3.4013431958703926,1.4884096784993204
gru_cov,day_cos3,20.3633101856343,23.626165188096973,3.262855002462672,0.7674860992389917
gru_cov,day_sin3,20.3633101856343,22.645486133395615,2.2821759477613135,0.8018654765544819
gru_cov,is_weekend,20.3633101856343,21.340951701502583,0.9776415158682816,0.7474471309123496
gru_cov,day_sin2,20.3633101856343,21.246483761583825,0.8831735759495238,0.18039417647077993
gru_cov,is_political_gathering,20.3633101856343,20.3633101856343,0.0,0.0
gru_cov,is_powercut,20.3633101856343,20.3633101856343,0.0,0.0
gru_cov,is_holiday,20.3633101856343,20.3633101856343,0.0,0.0
gru_cov,is_event,20.3633101856343,20.306265129433474,-0.05704505620082756,0.4840670693640671
gru_cov,day_cos2,20.3633101856343,20.177412302839535,-0.18589788279476593,0.386868993239595
tcn,demand,21.786631352282082,53.19319837047259,31.406567018190504,1.5684082247363202
tcn,day_cos1,21.786631352282082,29.994961365640318,8.208330013358236,2.9973929957234167
tcn,day_sin2,21.786631352282082,23.684265025569083,1.8976336732870003,0.505439666616863
tcn,day_sin3,21.786631352282082,23.218757017871912,1.4321256655898296,0.7732894852540892
tcn,is_weekend,21.786631352282082,23.095828555756448,1.3091972034743655,0.9809037918619922
tcn,day_sin1,21.786631352282082,22.736663403035678,0.9500320507535953,1.896251690137734
tcn,day_cos3,21.786631352282082,22.544327758478605,0.7576964061965228,0.7013470861347353
tcn,day_cos2,21.786631352282082,22.35391615602985,0.5672848037477678,0.9904093352291912
tcn,is_event,21.786631352282082,22.243164437185428,0.4565330849033451,0.14803251552026703
tcn,is_holiday,21.786631352282082,21.786631352282082,0.0,0.0
tcn,is_political_gathering,21.786631352282082,21.786631352282082,0.0,0.0
tcn,is_powercut,21.786631352282082,21.786631352282082,0.0,0.0
transformer,demand,26.561054155599102,47.439887790486104,20.878833634887002,1.5159149215305374
transformer,day_cos1,26.561054155599102,33.236742248833025,6.675688093233923,3.915316870263597
transformer,day_sin2,26.561054155599102,28.989906288565066,2.4288521329659645,1.8225897664921367
transformer,day_sin1,26.561054155599102,28.37785260433062,1.816798448731518,2.642411928056414
transformer,day_cos2,26.561054155599102,28.32825667816646,1.7672025225673593,1.2955105949544747
transformer,is_weekend,26.561054155599102,26.96672691316355,0.4056727575644494,1.501221905037196
transformer,day_cos3,26.561054155599102,26.62455787830005,0.06350372270094695,0.7023417788115395
transformer,is_holiday,26.561054155599102,26.561054155599102,0.0,0.0
transformer,is_political_gathering,26.561054155599102,26.561054155599102,0.0,0.0
transformer,is_powercut,26.561054155599102,26.561054155599102,0.0,0.0
transformer,day_sin3,26.561054155599102,26.280420762575346,-0.2806333930237557,1.5034643054302417
transformer,is_event,26.561054155599102,24.37857644853241,-2.182477707066692,1.4226658690734275
nbeatsx,demand,23.773019326809017,59.40143221775622,35.6284128909472,0.6614895590580657
nbeatsx,day_sin3,23.773019326809017,24.202188291749952,0.4291689649409349,0.807258303940794
nbeatsx,is_event,23.773019326809017,23.7750595902802,0.0020402634711835788,0.4439660990029416
nbeatsx,is_political_gathering,23.773019326809017,23.773019326809017,0.0,0.0
nbeatsx,is_powercut,23.773019326809017,23.773019326809017,0.0,0.0
nbeatsx,is_holiday,23.773019326809017,23.773019326809017,0.0,0.0
nbeatsx,day_sin1,23.773019326809017,23.711615107531713,-0.06140421927730344,0.8136309263512002
nbeatsx,day_cos3,23.773019326809017,23.29021831922981,-0.48280100757920863,0.8122051453570742
nbeatsx,day_cos1,23.773019326809017,22.95609637827041,-0.8169229485386076,0.5147434430911555
nbeatsx,day_sin2,23.773019326809017,22.920355258848126,-0.852664067960891,0.3012549131008071
nbeatsx,day_cos2,23.773019326809017,22.703898262763587,-1.0691210640454294,0.8943715244567966
nbeatsx,is_weekend,23.773019326809017,22.558788638822413,-1.2142306879866034,0.6485114077468709
