model_a,model_b,dm_stat,p_value,significant_fdr,winner
random_forest,ridge,-6.984771969693588,8.621547920029116e-12,True,random_forest
random_forest,rnn,1.6580753125692986,0.0978962010449067,False,tie
random_forest,rnn_cov,-3.109117650878225,0.0019776805355165017,True,random_forest
random_forest,rolling_mean_17,-13.71203964564711,0.0,True,random_forest
random_forest,seasonal_naive_17,-15.185976263629028,0.0,True,random_forest
random_forest,train_mean,-15.922150552031495,0.0,True,random_forest
random_forest,xgboost,1.4723668987587055,0.14151763679672547,False,tie
ridge,rnn,7.4281218089376395,4.4564352208453784e-13,True,rnn
ridge,rnn_cov,5.785094052983117,1.2427290307925887e-08,True,rnn_cov
ridge,rolling_mean_17,-2.032367394877756,0.042616433011357646,True,ridge
ridge,seasonal_naive_17,-4.863497496044204,1.5241530755272237e-06,True,ridge
ridge,train_mean,-4.544778419138568,6.823372535880168e-06,True,ridge
ridge,xgboost,7.19133133322587,2.2073454175597362e-12,True,xgboost
rnn,rnn_cov,-4.03666344999838,6.224402238519389e-05,True,rnn
rnn,rolling_mean_17,-14.314857882591639,0.0,True,rnn
rnn,seasonal_naive_17,-15.59045695471394,0.0,True,rnn
rnn,train_mean,-15.461211009290208,0.0,True,rnn
rnn,xgboost,-0.8652506858351903,0.38729416312938403,False,tie
rnn_cov,rolling_mean_17,-11.324709149595092,0.0,True,rnn_cov
rnn_cov,seasonal_naive_17,-13.503138250771377,0.0,True,rnn_cov
rnn_cov,train_mean,-14.213757021383588,0.0,True,rnn_cov
rnn_cov,xgboost,3.495221287113092,0.0005135045016555484,True,xgboost
rolling_mean_17,seasonal_naive_17,-4.960220751595557,9.508909617483852e-07,True,rolling_mean_17
rolling_mean_17,train_mean,-6.300688167765994,6.252229844960766e-10,True,rolling_mean_17
rolling_mean_17,xgboost,13.552069518491598,0.0,True,xgboost
seasonal_naive_17,train_mean,0.2676608621259485,0.7890649021525631,False,tie
seasonal_naive_17,xgboost,15.023084608378126,0.0,True,xgboost
train_mean,xgboost,15.673255845379376,0.0,True,xgboost
