model,mae_mean,mae_std,mae_count,mape_mean,mape_std,mape_count,mase_mean,mase_std,mase_count,n_parameters_mean,n_parameters_std,n_parameters_count,n_test_mean,n_test_std,n_test_count,rmse_mean,rmse_std,rmse_count,vs_persistence,beats_persistence,operator
nlinear__default,7.068597785821056,0.8355322514755945,8,8.633808356358506,0.6777158535028273,8,0.5030388110625649,0.05956743884646648,8,51.0,0.0,8,66.125,0.3535533905932738,8,9.137744704169759,0.9426452140172035,8,0.24878779474414311,True,gp
lstm_cov__default,6.753865859955797,0.8244910572068344,8,8.274458756721222,1.3075055553907788,8,0.48107342156135424,0.06279135360155387,8,0.0,0.0,8,66.125,0.3535533905932738,8,9.162239646426928,1.0256868720450572,8,0.24677407033113494,True,gp
transformer__default,6.402058685760229,1.2995892719741517,8,8.008619753797742,1.5982407638684093,8,0.45585415228656917,0.09432212803011905,8,18042.0,0.0,8,66.125,0.3535533905932738,8,9.198375666391525,1.4687465263913755,8,0.24380333519619643,True,gp
rnn_cov__default,6.836850634229477,1.388639369217287,8,8.469117934009288,2.174292648137142,8,0.48702880127844866,0.10187050215133327,8,0.0,0.0,8,66.125,0.3535533905932738,8,9.228066045964647,1.7892579450244932,8,0.24136249489740472,True,gp
gru_cov__default,7.178611609096934,1.5497404212582828,8,8.760005875412332,2.2548508792903474,8,0.511315474693419,0.11274443543083745,8,0.0,0.0,8,66.125,0.3535533905932738,8,9.634406430127058,1.7353284012852255,8,0.20795733137473976,True,gp
dlinear__tuned,7.5205816768215605,0.9688975925793858,8,9.11677762392889,0.9419898874393653,8,0.5386467612184285,0.07040654933788844,8,211.0,0.0,8,66.625,1.7677669529663689,8,9.670570953994684,1.3264479400738913,8,0.20498425293950723,True,gp
nbeatsx__default_cov,7.159334916537921,1.609910518418522,8,8.948093788316095,1.5065073408320093,8,0.5100504852546491,0.11848157287165889,8,53131.0,0.0,8,66.125,0.3535533905932738,8,9.948544921379227,1.702240498517913,8,0.18213206743826704,True,gp
rnn_cov__default_cov,7.4155580057118495,1.3100632751782333,8,9.100080166430562,1.741712115043509,8,0.5283014799606409,0.09711760811336506,8,0.0,0.0,8,66.125,0.3535533905932738,8,10.006680859826645,1.901244912172029,8,0.17735272330691101,True,gp
gru_cov__default_cov,7.9291868920973245,1.1960986858855815,8,9.507680975859063,1.4169466617705473,8,0.5645789616470653,0.08769989599075317,8,0.0,0.0,8,66.125,0.3535533905932738,8,10.643271650937958,1.4470844292310627,8,0.1250187188541405,True,gp
tcn__default_cov,8.195253176444286,1.0275511776385127,8,10.234711875120933,1.3591768845159875,8,0.5834287232710131,0.07497902724690478,8,23898.0,0.0,8,66.125,0.3535533905932738,8,11.126650042788837,1.1192468011025845,8,0.08528027578408748,True,gp
