model,channel,rmse_base,rmse_permuted,importance,importance_sd
gru_cov,demand,10.92343945903762,22.916350482544086,11.992911023506466,1.1875789641023506
gru_cov,day_sin1,10.92343945903762,11.61646004047221,0.69302058143459,0.39862098454605494
gru_cov,day_cos2,10.92343945903762,11.198465203208986,0.2750257441713657,0.2599394547675608
gru_cov,day_cos3,10.92343945903762,11.132455664357504,0.20901620531988385,0.2139793302288399
gru_cov,day_sin2,10.92343945903762,11.076583502507646,0.15314404347002508,0.15776870966472228
gru_cov,is_drama,10.92343945903762,11.000622055577072,0.07718259653945125,0.30511682207531127
gru_cov,is_holiday,10.92343945903762,10.92343945903762,0.0,0.0
gru_cov,event,10.92343945903762,10.92343945903762,0.0,0.0
gru_cov,is_offer,10.92343945903762,10.92343945903762,0.0,0.0
gru_cov,is_powercut,10.92343945903762,10.92343945903762,0.0,0.0
gru_cov,is_event,10.92343945903762,10.885449757039439,-0.03798970199818186,0.0823383865514813
gru_cov,is_political_gathering,10.92343945903762,10.835452544980607,-0.08798691405701398,0.08438177962114872
gru_cov,day_cos1,10.92343945903762,10.753169676098144,-0.17026978293947614,0.18426414973048247
gru_cov,day_sin3,10.92343945903762,10.737815976136396,-0.18562348290122443,0.08440930544795362
gru_cov,is_weekend,10.92343945903762,10.706256369355168,-0.21718308968245204,0.031182442457178876
gru_cov,is_rain,10.92343945903762,10.504902765830455,-0.4185366932071659,0.13904405177191853
tcn,demand,10.869063368153572,20.30097068899668,9.43190732084311,0.9929674860502167
tcn,is_rain,10.869063368153572,11.537656245551823,0.6685928773982504,0.7208383855755364
tcn,day_cos1,10.869063368153572,11.230946469536132,0.36188310138255986,0.290910300986429
tcn,is_event,10.869063368153572,11.12205454483094,0.2529911766773676,0.05371484104699371
tcn,is_political_gathering,10.869063368153572,10.968840240068559,0.09977687191498674,0.16575496986082316
tcn,day_sin3,10.869063368153572,10.897456206082168,0.028392837928596038,0.3264217588747235
tcn,day_sin1,10.869063368153572,10.884255943148242,0.015192574994669528,0.2651536279271752
tcn,event,10.869063368153572,10.869063368153572,0.0,0.0
tcn,is_powercut,10.869063368153572,10.869063368153572,0.0,0.0
tcn,is_offer,10.869063368153572,10.869063368153572,0.0,0.0
tcn,is_holiday,10.869063368153572,10.869063368153572,0.0,0.0
tcn,is_drama,10.869063368153572,10.82269675037593,-0.046366617777641395,0.3415463432375182
tcn,day_cos3,10.869063368153572,10.760236597426564,-0.10882677072700808,0.49855865750476325
tcn,is_weekend,10.869063368153572,10.740825819104078,-0.12823754904949425,0.15495594157674517
tcn,day_sin2,10.869063368153572,10.642735034325433,-0.226328333828139,0.2566705313383269
tcn,day_cos2,10.869063368153572,10.538811132281289,-0.33025223587228325,0.25721929278046485
transformer,demand,15.019193089901103,23.97821639320235,8.959023303301246,0.5327672500078475
transformer,day_cos1,15.019193089901103,16.564637251388937,1.5454441614878345,0.7625915517045745
transformer,day_sin1,15.019193089901103,15.47955774358402,0.4603646536829178,0.5272772097580494
transformer,event,15.019193089901103,15.019193089901103,0.0,0.0
transformer,is_holiday,15.019193089901103,15.019193089901103,0.0,0.0
transformer,is_powercut,15.019193089901103,15.019193089901103,0.0,0.0
transformer,is_offer,15.019193089901103,15.019193089901103,0.0,0.0
transformer,is_event,15.019193089901103,14.94234212502576,-0.0768509648753426,0.06155220818028188
transformer,is_political_gathering,15.019193089901103,14.926219116658476,-0.09297397324262668,0.2293994220766502
transformer,is_weekend,15.019193089901103,14.819612747549453,-0.19958034235165023,0.23848356287967817
transformer,day_cos3,15.019193089901103,14.7619765509059,-0.2572165389952037,0.5930408992695445
transformer,day_sin2,15.019193089901103,14.691103310252592,-0.3280897796485114,0.3832497291919012
transformer,day_cos2,15.019193089901103,14.480445197323538,-0.5387478925775646,0.5659255104870139
transformer,day_sin3,15.019193089901103,14.333046923997419,-0.6861461659036845,0.15212333487545132
transformer,is_rain,15.019193089901103,13.777553652252664,-1.2416394376484394,0.25945016680374683
transformer,is_drama,15.019193089901103,12.85623492629523,-2.1629581636058735,0.5744647321039571
nbeatsx,demand,10.688178442392937,24.457500252387415,13.769321809994478,1.2367737609031315
nbeatsx,is_drama,10.688178442392937,10.985998762546659,0.29782032015372195,0.1692201542077349
nbeatsx,is_political_gathering,10.688178442392937,10.832015527336717,0.14383708494377956,0.074729297408114
nbeatsx,is_weekend,10.688178442392937,10.798472826806874,0.1102943844139368,0.19055851989983164
nbeatsx,day_sin2,10.688178442392937,10.758854869621953,0.07067642722901546,0.08747826530412685
nbeatsx,is_event,10.688178442392937,10.758697756237673,0.07051931384473598,0.028591544410457963
nbeatsx,day_cos2,10.688178442392937,10.706542818165582,0.018364375772645047,0.059213645282410576
nbeatsx,event,10.688178442392937,10.688178442392937,0.0,0.0
nbeatsx,is_offer,10.688178442392937,10.688178442392937,0.0,0.0
nbeatsx,is_holiday,10.688178442392937,10.688178442392937,0.0,0.0
nbeatsx,is_powercut,10.688178442392937,10.688178442392937,0.0,0.0
nbeatsx,day_cos3,10.688178442392937,10.671607715273991,-0.016570727118946138,0.17719705313731351
nbeatsx,day_sin3,10.688178442392937,10.407273597613406,-0.28090484477953126,0.23752536881110767
nbeatsx,is_rain,10.688178442392937,10.402574354513304,-0.28560408787963354,0.30182972874174563
nbeatsx,day_cos1,10.688178442392937,10.354143981900677,-0.33403446049226027,0.16121389805380143
nbeatsx,day_sin1,10.688178442392937,10.253508613184856,-0.4346698292080813,0.1463408805612474
