operator,model,horizon_hours,lead_hours,fold,tau,method,n,coverage,mean_allocation_ratio,natively_expressible
gp,chronos-bolt-small,3.0,2.87,0,0.9,conformal,66,0.9242424242424242,1.2151501494955728,True
gp,chronos-bolt-small,3.0,2.87,0,0.95,zero_shot,66,0.9090909090909091,1.1843844815093083,False
gp,chronos-bolt-small,3.0,2.87,0,0.95,conformal,66,0.9848484848484849,1.2480213786885084,False
gp,chronos-bolt-small,3.0,2.87,1,0.8,zero_shot,66,0.8333333333333334,1.1226065821894555,True
gp,chronos-bolt-small,3.0,2.87,1,0.8,conformal,66,0.8636363636363636,1.139968329835964,True
gp,chronos-bolt-small,3.0,2.87,1,0.9,zero_shot,66,0.9090909090909091,1.175117392738439,True
gp,chronos-bolt-small,3.0,2.87,1,0.9,conformal,66,0.9696969696969697,1.2198890227905186,True
gp,chronos-bolt-small,3.0,2.87,1,0.95,zero_shot,66,0.9090909090909091,1.175117392738439,False
gp,chronos-bolt-small,3.0,2.87,1,0.95,conformal,66,0.9848484848484849,1.2395824878132224,False
gp,chronos-bolt-small,3.0,2.87,2,0.8,zero_shot,66,0.7272727272727273,1.1113574163779696,True
gp,chronos-bolt-small,3.0,2.87,2,0.8,conformal,66,0.7272727272727273,1.1097409915069796,True
gp,chronos-bolt-small,3.0,2.87,2,0.9,zero_shot,66,0.8484848484848485,1.1661813869517639,True
gp,chronos-bolt-small,3.0,2.87,2,0.9,conformal,66,0.8484848484848485,1.165131227784975,True
gp,chronos-bolt-small,3.0,2.87,2,0.95,zero_shot,66,0.8484848484848485,1.1661813869517639,False
gp,chronos-bolt-small,3.0,2.87,2,0.95,conformal,66,0.9696969696969697,1.2224833698076645,False
gp,chronos-bolt-small,3.0,2.87,3,0.8,zero_shot,66,0.8939393939393939,1.12729262654679,True
gp,chronos-bolt-small,3.0,2.87,3,0.8,conformal,66,0.9090909090909091,1.1340745028896677,True
gp,chronos-bolt-small,3.0,2.87,3,0.9,zero_shot,66,0.9696969696969697,1.1806532359191315,True
gp,chronos-bolt-small,3.0,2.87,3,0.9,conformal,66,0.9696969696969697,1.189612344844761,True
gp,chronos-bolt-small,3.0,2.87,3,0.95,zero_shot,66,0.9696969696969697,1.1806532359191315,False
gp,chronos-bolt-small,3.0,2.87,3,0.95,conformal,66,0.9696969696969697,1.2246302629286907,False
